,A375_SKIN ,A427_LUNG ,DLD1_LARGE_INTESTINE ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,NCIH2122_LUNG ,NCIH520_LUNG ,OV90_OVARY ,PA1_OVARY ,RKO_LARGE_INTESTINE ,SKOV3_OVARY ,VCAP_PROSTATE ,ZR751_BREAST 
A375_SKIN ,1.0,0.7523827351614777,0.7882696125665972,0.6638016449833414,0.7821669692027816,0.8210246121664061,0.7678475458922684,0.8349820656611582,0.6702027616456951,0.790342577526302,0.85305821570448,0.7892516997865568,0.8354936322231167,0.853464073146458
A427_LUNG ,0.7523827351614777,1.0,0.7417484130268491,0.8128616047683513,0.7745881371403232,0.8182960091215663,0.8112613484676167,0.741715912434381,0.7702603267001591,0.6432262370280816,0.6901880196930382,0.8018638989899115,0.8672359409302649,0.7518370797743853
DLD1_LARGE_INTESTINE ,0.7882696125665972,0.7417484130268491,1.0,0.6854426377740467,0.7557579057217254,0.7572588120740454,0.7474630142489349,0.6935014734011222,0.6964717382239062,0.850962947678056,0.7580770292424883,0.7575277271023796,0.7781534678108348,0.7850783923864847
EFM192A_BREAST ,0.6638016449833414,0.8128616047683513,0.6854426377740467,1.0,0.792164455432129,0.7603720699241069,0.8404999515492804,0.6944970373417865,0.6974783556227426,0.6351087189255396,0.6011230522084454,0.7125108893638219,0.8302640310836895,0.7515523014113569
ES2_OVARY ,0.7821669692027816,0.7745881371403232,0.7557579057217254,0.792164455432129,1.0,0.7992819787620424,0.850296161725309,0.7698415432053379,0.6894758972796295,0.7312702568426412,0.7032160412370447,0.7618585215859545,0.8437811530423389,0.8044637306855006
HCT116_LARGE_INTESTINE ,0.8210246121664061,0.8182960091215663,0.7572588120740454,0.7603720699241069,0.7992819787620424,1.0,0.8310410439379886,0.8283971339158661,0.7230232351032447,0.788102285145897,0.7364928062748528,0.8205678231430711,0.8315208085836935,0.8129136429827735
NCIH2122_LUNG ,0.7678475458922684,0.8112613484676167,0.7474630142489349,0.8404999515492804,0.850296161725309,0.8310410439379886,1.0,0.7824753345250223,0.8688254529182186,0.7486937895069394,0.7372274055444725,0.8150090845899333,0.8515079672400776,0.8330301862929759
NCIH520_LUNG ,0.8349820656611582,0.741715912434381,0.6935014734011222,0.6944970373417865,0.7698415432053379,0.8283971339158661,0.7824753345250223,1.0,0.6555161652665273,0.7281935824484097,0.7756129724729762,0.7722789112578851,0.842566092166154,0.8212274840904883
OV90_OVARY ,0.6702027616456951,0.7702603267001591,0.6964717382239062,0.6974783556227426,0.6894758972796295,0.7230232351032447,0.8688254529182186,0.6555161652665273,1.0,0.6691835130893538,0.7080365828377803,0.7672502313812098,0.7329623595406787,0.6935296388377354
PA1_OVARY ,0.790342577526302,0.6432262370280816,0.850962947678056,0.6351087189255396,0.7312702568426412,0.788102285145897,0.7486937895069394,0.7281935824484097,0.6691835130893538,1.0,0.7681508671928113,0.7054500343232858,0.7462447294996436,0.7655472609043765
RKO_LARGE_INTESTINE ,0.85305821570448,0.6901880196930382,0.7580770292424883,0.6011230522084454,0.7032160412370447,0.7364928062748528,0.7372274055444725,0.7756129724729762,0.7080365828377803,0.7681508671928113,1.0,0.6992998968700008,0.8133124489833683,0.8336206350087072
SKOV3_OVARY ,0.7892516997865568,0.8018638989899115,0.7575277271023796,0.7125108893638219,0.7618585215859545,0.8205678231430711,0.8150090845899333,0.7722789112578851,0.7672502313812098,0.7054500343232858,0.6992998968700008,1.0,0.7778870626136165,0.7408830728051057
VCAP_PROSTATE ,0.8354936322231167,0.8672359409302649,0.7781534678108348,0.8302640310836895,0.8437811530423389,0.8315208085836935,0.8515079672400776,0.842566092166154,0.7329623595406787,0.7462447294996436,0.8133124489833683,0.7778870626136165,1.0,0.8526263539344723
ZR751_BREAST ,0.853464073146458,0.7518370797743853,0.7850783923864847,0.7515523014113569,0.8044637306855006,0.8129136429827735,0.8330301862929759,0.8212274840904883,0.6935296388377354,0.7655472609043765,0.8336206350087072,0.7408830728051057,0.8526263539344723,1.0
