,A2058_SKIN ,A2780_OVARY ,CAOV3_OVARY ,COLO320_LARGE_INTESTINE ,HT29_LARGE_INTESTINE ,KPL1_BREAST ,LOVO_LARGE_INTESTINE ,MDAMB436_BREAST ,NCIH1650_LUNG ,NCIH2122_LUNG ,NCIH460_LUNG ,OVCAR4_OVARY ,SKMES1_LUNG ,SW620_LARGE_INTESTINE ,SW837_LARGE_INTESTINE 
A2058_SKIN ,1.0,0.93030337818552,0.9271236884176001,0.9096366962775181,0.9092746068571768,0.8971130241244836,0.9016056825315345,0.9323196411544097,0.9192618156175066,0.8964671679803421,0.9465460653836432,0.9081323890086801,0.8963223479414659,0.9197457539333967,0.8986006047657795
A2780_OVARY ,0.93030337818552,1.0,0.9282703135637527,0.9638170354490854,0.9007686954548128,0.8996267592538952,0.9254652265170734,0.9097153249417574,0.8986205369789345,0.8839475015053924,0.9180908092407489,0.9156312452930844,0.8838519329747774,0.927746806017801,0.9245348208380748
CAOV3_OVARY ,0.9271236884176001,0.9282703135637527,1.0,0.9107619556253712,0.9002427307357967,0.8820983256840269,0.9026572004821063,0.9401672294320644,0.9407637784690549,0.9034641549344073,0.9225390308267793,0.894331875923098,0.8971947191370129,0.9148299748395634,0.9269680688365664
COLO320_LARGE_INTESTINE ,0.9096366962775181,0.9638170354490854,0.9107619556253712,1.0,0.9006527111481267,0.9041007614463883,0.9460872501214196,0.8930721916293841,0.8859562909623824,0.8901939606771103,0.9156022891677448,0.8961004193928926,0.8768024249325059,0.9325650773182275,0.9348862197317783
HT29_LARGE_INTESTINE ,0.9092746068571768,0.9007686954548128,0.9002427307357967,0.9006527111481267,1.0,0.9419994756396469,0.9431203760697654,0.9086612467162207,0.9169185134072645,0.9018319750495639,0.925329561191508,0.9126689701736083,0.9180726056308192,0.9582138671514904,0.9233325181722152
KPL1_BREAST ,0.8971130241244836,0.8996267592538952,0.8820983256840269,0.9041007614463883,0.9419994756396469,1.0,0.9109514921114984,0.8862563815231302,0.9320112363279537,0.8717973704886616,0.9014763609930816,0.9361124681268795,0.9061150052363457,0.9348823409002984,0.9246090249597446
LOVO_LARGE_INTESTINE ,0.9016056825315345,0.9254652265170734,0.9026572004821063,0.9460872501214196,0.9431203760697654,0.9109514921114984,1.0,0.8947133956426832,0.8837050616088714,0.9046991601548506,0.9127115860525784,0.8700970620917139,0.8923638559853034,0.9624586069159483,0.9264130991327885
MDAMB436_BREAST ,0.9323196411544097,0.9097153249417574,0.9401672294320644,0.8930721916293841,0.9086612467162207,0.8862563815231302,0.8947133956426832,1.0,0.9259816759956957,0.9380604908683301,0.950508184008917,0.9061040197439988,0.9337768115801046,0.9051641112980923,0.913393230259254
NCIH1650_LUNG ,0.9192618156175066,0.8986205369789345,0.9407637784690549,0.8859562909623824,0.9169185134072645,0.9320112363279537,0.8837050616088714,0.9259816759956957,1.0,0.8875464605194608,0.9132154761941056,0.9326189597803756,0.9144106020575622,0.9100016171166418,0.9344086734274708
NCIH2122_LUNG ,0.8964671679803421,0.8839475015053924,0.9034641549344073,0.8901939606771103,0.9018319750495639,0.8717973704886616,0.9046991601548506,0.9380604908683301,0.8875464605194608,1.0,0.9575730524690758,0.88568745763546,0.9320772573431343,0.893484397973387,0.9145611813820677
NCIH460_LUNG ,0.9465460653836432,0.9180908092407489,0.9225390308267793,0.9156022891677448,0.925329561191508,0.9014763609930816,0.9127115860525784,0.950508184008917,0.9132154761941056,0.9575730524690758,1.0,0.910284892698623,0.9387319299425249,0.928345505880559,0.9273001796524193
OVCAR4_OVARY ,0.9081323890086801,0.9156312452930844,0.894331875923098,0.8961004193928926,0.9126689701736083,0.9361124681268795,0.8700970620917139,0.9061040197439988,0.9326189597803756,0.88568745763546,0.910284892698623,1.0,0.9403430628761499,0.894693505695675,0.9085446141183826
SKMES1_LUNG ,0.8963223479414659,0.8838519329747774,0.8971947191370129,0.8768024249325059,0.9180726056308192,0.9061150052363457,0.8923638559853034,0.9337768115801046,0.9144106020575622,0.9320772573431343,0.9387319299425249,0.9403430628761499,1.0,0.9013736049745147,0.9142869349946883
SW620_LARGE_INTESTINE ,0.9197457539333967,0.927746806017801,0.9148299748395634,0.9325650773182275,0.9582138671514904,0.9348823409002984,0.9624586069159483,0.9051641112980923,0.9100016171166418,0.893484397973387,0.928345505880559,0.894693505695675,0.9013736049745147,1.0,0.9380855170052491
SW837_LARGE_INTESTINE ,0.8986006047657795,0.9245348208380748,0.9269680688365664,0.9348862197317783,0.9233325181722152,0.9246090249597446,0.9264130991327885,0.913393230259254,0.9344086734274708,0.9145611813820677,0.9273001796524193,0.9085446141183826,0.9142869349946883,0.9380855170052491,1.0
