,A375_SKIN ,A427_LUNG ,EFM192A_BREAST ,ES2_OVARY ,HCT116_LARGE_INTESTINE ,MSTO211H_PLEURA ,NCIH520_LUNG ,OV90_OVARY ,RKO_LARGE_INTESTINE ,RPMI7951_SKIN ,SKOV3_OVARY ,VCAP_PROSTATE ,ZR751_BREAST ,DLD1_LARGE_INTESTINE ,PA1_OVARY 
A375_SKIN ,1,0.786791384,0.73105072,0.796272779,0.784705134,0.87950006,0.827343838,0.658118901,0.824342971,0.83684025,0.779592035,0.868679774,0.859715344,0.757217498,0.734255827
A427_LUNG ,0.786791384,1,0.850311178,0.804673101,0.830055289,0.826116747,0.755724151,0.785776175,0.70755829,0.862117373,0.830296013,0.896842324,0.79476777,0.777708965,0.648600168
EFM192A_BREAST ,0.73105072,0.850311178,1,0.840452843,0.79360451,0.789084347,0.730157519,0.728516254,0.644460235,0.834080879,0.757703902,0.875868553,0.817727029,0.754759028,0.681765487
ES2_OVARY ,0.796272779,0.804673101,0.840452843,1,0.789375859,0.8473515,0.769315296,0.699749078,0.689477986,0.878670623,0.779128037,0.87250011,0.838712687,0.78546182,0.730147206
HCT116_LARGE_INTESTINE ,0.784705134,0.830055289,0.79360451,0.789375859,1,0.823656075,0.815114604,0.712777953,0.690310677,0.758240818,0.811051139,0.836638483,0.813975327,0.71905459,0.757737974
MSTO211H_PLEURA ,0.87950006,0.826116747,0.789084347,0.8473515,0.823656075,1,0.845550421,0.825416673,0.817494782,0.889711084,0.852405849,0.879428313,0.837477696,0.813082022,0.762312654
NCIH520_LUNG ,0.827343838,0.755724151,0.730157519,0.769315296,0.815114604,0.845550421,1,0.638297031,0.757103397,0.749322133,0.766327942,0.855129408,0.823248009,0.658301196,0.683780039
OV90_OVARY ,0.658118901,0.785776175,0.728516254,0.699749078,0.712777953,0.825416673,0.638297031,1,0.710063174,0.809221919,0.778192643,0.748842015,0.701429191,0.697960234,0.661056341
RKO_LARGE_INTESTINE ,0.824342971,0.70755829,0.644460235,0.689477986,0.690310677,0.817494782,0.757103397,0.710063174,1,0.74051957,0.677048624,0.829612748,0.810062508,0.718729983,0.729626041
RPMI7951_SKIN ,0.83684025,0.862117373,0.834080879,0.878670623,0.758240818,0.889711084,0.749322133,0.809221919,0.74051957,1,0.885072322,0.877020499,0.821854512,0.811337712,0.707791174
SKOV3_OVARY ,0.779592035,0.830296013,0.757703902,0.779128037,0.811051139,0.852405849,0.766327942,0.778192643,0.677048624,0.885072322,1,0.806830461,0.750072847,0.756115451,0.676256573
VCAP_PROSTATE ,0.868679774,0.896842324,0.875868553,0.87250011,0.836638483,0.879428313,0.855129408,0.748842015,0.829612748,0.877020499,0.806830461,1,0.88869278,0.809859504,0.755204632
ZR751_BREAST ,0.859715344,0.79476777,0.817727029,0.838712687,0.813975327,0.837477696,0.823248009,0.701429191,0.810062508,0.821854512,0.750072847,0.88869278,1,0.792033995,0.758449893
DLD1_LARGE_INTESTINE ,0.757217498,0.777708965,0.754759028,0.78546182,0.71905459,0.813082022,0.658301196,0.697960234,0.718729983,0.811337712,0.756115451,0.809859504,0.792033995,1,0.813047833
PA1_OVARY ,0.734255827,0.648600168,0.681765487,0.730147206,0.757737974,0.762312654,0.683780039,0.661056341,0.729626041,0.707791174,0.676256573,0.755204632,0.758449893,0.813047833,1
